Country,HSCode,Year,Value(Imports),Growth
AFGHANISTAN,HSCode_85,2019,0.0,-99.64
ALBANIA,HSCode_85,2019,,
ALGERIA,HSCode_85,2019,,
ANDORRA,HSCode_85,2019,,
ANGOLA,HSCode_85,2019,2.15,31.17
ANGUILLA,HSCode_85,2019,0.09,-44.9
ANTIGUA,HSCode_85,2019,0.17,37.65
ARGENTINA,HSCode_85,2019,0.23,-37.73
ARMENIA,HSCode_85,2019,,
ARUBA,HSCode_85,2019,0.3,-10.43
AUSTRALIA,HSCode_85,2019,29.21,-16.42
AUSTRIA,HSCode_85,2019,75.4,-14.99
AZERBAIJAN,HSCode_85,2019,0.01,7327.25
BAHAMAS,HSCode_85,2019,1.11,1.61
BAHARAIN IS,HSCode_85,2019,2.99,32.4
BANGLADESH PR,HSCode_85,2019,6.38,-12.35
BARBADOS,HSCode_85,2019,0.65,-7.13
BELARUS,HSCode_85,2019,0.83,-55.6
BELGIUM,HSCode_85,2019,136.66,2.35
BELIZE,HSCode_85,2019,,
BENIN,HSCode_85,2019,3.12,-18.8
BERMUDA,HSCode_85,2019,,
BHUTAN,HSCode_85,2019,1.84,827.79
BOLIVIA,HSCode_85,2019,,
BOSNIA-HRZGOVIN,HSCode_85,2019,0.0,-87.94
BOTSWANA,HSCode_85,2019,0.0,-98.05
BR VIRGN IS,HSCode_85,2019,3.31,-4.42
BRAZIL,HSCode_85,2019,16.85,-8.0
BRUNEI,HSCode_85,2019,0.02,1689.79
BULGARIA,HSCode_85,2019,14.76,-26.57
BURUNDI,HSCode_85,2019,0.0,
CAMBODIA,HSCode_85,2019,7.1,530.98
CAMEROON,HSCode_85,2019,0.17,136.0
CANADA,HSCode_85,2019,74.38,-24.72
CAPE VERDE IS,HSCode_85,2019,0.25,-18.46
CHAD,HSCode_85,2019,0.0,
CHILE,HSCode_85,2019,5.7,1116.93
CHINA P RP,HSCode_85,2019,19104.17,-7.39
COCOS IS,HSCode_85,2019,,
COLOMBIA,HSCode_85,2019,1.35,907.94
COMOROS,HSCode_85,2019,0.32,-7.5
CONGO D. REP.,HSCode_85,2019,2.07,-24.65
CONGO P REP,HSCode_85,2019,1.16,-8.95
COSTA RICA,HSCode_85,2019,0.54,11.07
COTE D' IVOIRE,HSCode_85,2019,9.18,23.88
CROATIA,HSCode_85,2019,1.32,-7.47
CUBA,HSCode_85,2019,0.43,320.41
CYPRUS,HSCode_85,2019,0.08,-15.9
CZECH REPUBLIC,HSCode_85,2019,26.26,-0.22
DENMARK,HSCode_85,2019,82.63,82.4
DJIBOUTI,HSCode_85,2019,1.46,-10.01
DOMINIC REP,HSCode_85,2019,0.61,23.12
DOMINICA,HSCode_85,2019,0.06,18.31
ECUADOR,HSCode_85,2019,0.01,-57.84
EGYPT A RP,HSCode_85,2019,3.33,311.25
EL SALVADOR,HSCode_85,2019,,
EQUTL GUINEA,HSCode_85,2019,0.79,145.99
ESTONIA,HSCode_85,2019,8.65,-12.3
ETHIOPIA,HSCode_85,2019,0.04,-12.06
FALKLAND IS,HSCode_85,2019,0.03,
FAROE IS.,HSCode_85,2019,,
FIJI IS,HSCode_85,2019,0.04,
FINLAND,HSCode_85,2019,139.53,-72.75
FR POLYNESIA,HSCode_85,2019,0.01,485.34
FRANCE,HSCode_85,2019,708.75,5.6
GABON,HSCode_85,2019,0.06,183.38
GAMBIA,HSCode_85,2019,2.2,-12.54
GEORGIA,HSCode_85,2019,0.13,-92.92
GERMANY,HSCode_85,2019,1524.82,-12.45
GHANA,HSCode_85,2019,5.49,-59.14
GREECE,HSCode_85,2019,5.85,18.69
GRENADA,HSCode_85,2019,0.25,37.13
GUADELOUPE,HSCode_85,2019,,
GUINEA,HSCode_85,2019,4.24,-10.6
GUINEA BISSAU,HSCode_85,2019,0.19,37.35
GUYANA,HSCode_85,2019,0.57,76.36
HAITI,HSCode_85,2019,9.91,39.65
HONDURAS,HSCode_85,2019,0.66,-33.48
HONG KONG,HSCode_85,2019,8703.24,0.53
HUNGARY,HSCode_85,2019,34.96,-46.06
ICELAND,HSCode_85,2019,0.09,35.05
INDONESIA,HSCode_85,2019,146.31,-42.38
IRAN,HSCode_85,2019,0.21,-59.81
IRAQ,HSCode_85,2019,0.01,577.13
IRELAND,HSCode_85,2019,55.69,10.1
ISRAEL,HSCode_85,2019,327.7,10.17
ITALY,HSCode_85,2019,229.03,-18.72
JAMAICA,HSCode_85,2019,1.37,3.52
JAPAN,HSCode_85,2019,1357.53,-3.59
JORDAN,HSCode_85,2019,0.13,56.75
KAZAKHSTAN,HSCode_85,2019,0.01,-85.66
KENYA,HSCode_85,2019,0.55,65.61
KOREA DP RP,HSCode_85,2019,0.27,610.91
KOREA RP,HSCode_85,2019,2815.11,-1.36
KUWAIT,HSCode_85,2019,19.39,3.02
KYRGHYZSTAN,HSCode_85,2019,0.05,-9.74
LAO PD RP,HSCode_85,2019,0.83,382.58
LATVIA,HSCode_85,2019,6.37,5.06
LEBANON,HSCode_85,2019,0.1,-51.6
LIBERIA,HSCode_85,2019,0.99,-37.22
LIBYA,HSCode_85,2019,5.69,-36.04
LIECHTENSTEIN,HSCode_85,2019,0.13,32.92
LITHUANIA,HSCode_85,2019,2.04,-16.65
LUXEMBOURG,HSCode_85,2019,1.48,-71.83
MACAO,HSCode_85,2019,0.22,-90.23
MACEDONIA,HSCode_85,2019,0.12,-75.08
MADAGASCAR,HSCode_85,2019,3.91,19.65
MALAWI,HSCode_85,2019,0.01,-96.48
MALAYSIA,HSCode_85,2019,792.14,-19.68
MALDIVES,HSCode_85,2019,0.28,-51.36
MALI,HSCode_85,2019,,
MALTA,HSCode_85,2019,0.49,-64.87
MAURITANIA,HSCode_85,2019,3.11,-18.53
MAURITIUS,HSCode_85,2019,2.01,-93.38
MEXICO,HSCode_85,2019,237.83,-63.55
MOLDOVA,HSCode_85,2019,0.0,-27.99
MONACO,HSCode_85,2019,,
MONGOLIA,HSCode_85,2019,0.0,163.8
MONTENEGRO,HSCode_85,2019,0.07,
MOROCCO,HSCode_85,2019,1.21,45.57
MOZAMBIQUE,HSCode_85,2019,1.43,-23.78
MYANMAR,HSCode_85,2019,1.46,248.43
NAMIBIA,HSCode_85,2019,2.58,8.44
NEPAL,HSCode_85,2019,1.05,-10.96
NETHERLAND,HSCode_85,2019,195.49,-19.94
NETHERLANDANTIL,HSCode_85,2019,0.79,-11.66
NEW ZEALAND,HSCode_85,2019,5.93,12.82
NICARAGUA,HSCode_85,2019,0.01,
NIGER,HSCode_85,2019,,
NIGERIA,HSCode_85,2019,7.11,111.7
NORWAY,HSCode_85,2019,16.88,10.39
OMAN,HSCode_85,2019,3.47,143.84
PAKISTAN IR,HSCode_85,2019,0.01,-91.74
PANAMA REPUBLIC,HSCode_85,2019,0.05,-20.42
PAPUA N GNA,HSCode_85,2019,0.67,35.31
PARAGUAY,HSCode_85,2019,0.01,-59.37
PERU,HSCode_85,2019,0.05,123.5
