Country,HSCode,Year,Value(Imports),Growth
AFGHANISTAN,HSCode_31,2019,15.14,2039214.78
ALBANIA,HSCode_31,2019,0.03,
ALGERIA,HSCode_31,2019,,
ANGOLA,HSCode_31,2019,0.01,150137.83
ARGENTINA,HSCode_31,2019,0.01,85.54
AUSTRALIA,HSCode_31,2019,0.49,14.61
AUSTRIA,HSCode_31,2019,0.0,
AZERBAIJAN,HSCode_31,2019,,
BAHARAIN IS,HSCode_31,2019,,
BANGLADESH PR,HSCode_31,2019,0.72,-13.71
BARBADOS,HSCode_31,2019,,
BELGIUM,HSCode_31,2019,,
BELIZE,HSCode_31,2019,,
BENIN,HSCode_31,2019,0.0,-99.92
BHUTAN,HSCode_31,2019,0.01,57.28
BOLIVIA,HSCode_31,2019,,
BOSNIA-HRZGOVIN,HSCode_31,2019,,
BOTSWANA,HSCode_31,2019,,
BRAZIL,HSCode_31,2019,0.02,-92.86
BRUNEI,HSCode_31,2019,0.0,-81.71
BULGARIA,HSCode_31,2019,,
BURUNDI,HSCode_31,2019,0.0,-78.22
CAMBODIA,HSCode_31,2019,0.03,1613.27
CAMEROON,HSCode_31,2019,,
CANADA,HSCode_31,2019,0.33,-10.18
CHILE,HSCode_31,2019,0.05,-23.82
CHINA P RP,HSCode_31,2019,2.68,142.71
COLOMBIA,HSCode_31,2019,0.03,38.47
CONGO D. REP.,HSCode_31,2019,0.0,-72.26
CONGO P REP,HSCode_31,2019,,
COSTA RICA,HSCode_31,2019,0.0,
COTE D' IVOIRE,HSCode_31,2019,0.07,-8.16
CROATIA,HSCode_31,2019,1.04,
CYPRUS,HSCode_31,2019,0.0,-26.33
CZECH REPUBLIC,HSCode_31,2019,0.01,
DJIBOUTI,HSCode_31,2019,0.04,-91.07
DOMINIC REP,HSCode_31,2019,0.05,130.26
ECUADOR,HSCode_31,2019,0.02,-36.14
EGYPT A RP,HSCode_31,2019,0.95,93.02
EQUTL GUINEA,HSCode_31,2019,,
ERITREA,HSCode_31,2019,0.0,
ETHIOPIA,HSCode_31,2019,1.41,-24.24
FIJI IS,HSCode_31,2019,0.1,67372.38
FRANCE,HSCode_31,2019,0.0,
GAMBIA,HSCode_31,2019,0.0,1.68
GERMANY,HSCode_31,2019,0.5,102.84
GHANA,HSCode_31,2019,0.49,184.72
GREECE,HSCode_31,2019,0.01,-82.61
GUATEMALA,HSCode_31,2019,0.12,286.31
GUINEA,HSCode_31,2019,0.0,-87.12
GUYANA,HSCode_31,2019,0.0,-8.61
HONDURAS,HSCode_31,2019,0.0,344.11
INDONESIA,HSCode_31,2019,0.99,-30.56
IRAN,HSCode_31,2019,1.85,296.7
IRAQ,HSCode_31,2019,0.0,-94.18
IRELAND,HSCode_31,2019,0.0,
ISRAEL,HSCode_31,2019,0.09,1899.7
ITALY,HSCode_31,2019,0.29,512.92
JAMAICA,HSCode_31,2019,0.0,-68.09
JAPAN,HSCode_31,2019,0.13,-31.61
JORDAN,HSCode_31,2019,0.29,309.91
KENYA,HSCode_31,2019,1.63,-25.55
KOREA DP RP,HSCode_31,2019,0.02,
KOREA RP,HSCode_31,2019,0.15,-56.31
KUWAIT,HSCode_31,2019,0.04,166.18
LAO PD RP,HSCode_31,2019,0.0,-70.07
LEBANON,HSCode_31,2019,0.08,-75.61
LIBERIA,HSCode_31,2019,0.02,98.86
LIBYA,HSCode_31,2019,0.0,
LITHUANIA,HSCode_31,2019,0.01,-82.81
MADAGASCAR,HSCode_31,2019,0.17,-36.2
MALAWI,HSCode_31,2019,0.13,-53.91
MALAYSIA,HSCode_31,2019,8.63,-55.78
MALDIVES,HSCode_31,2019,0.39,-0.84
MALI,HSCode_31,2019,0.0,
MAURITIUS,HSCode_31,2019,0.03,-8.26
MEXICO,HSCode_31,2019,0.15,142.49
MOLDOVA,HSCode_31,2019,,
MONGOLIA,HSCode_31,2019,0.0,-27.99
MOROCCO,HSCode_31,2019,0.98,-19.99
MOZAMBIQUE,HSCode_31,2019,6.16,-53.13
MYANMAR,HSCode_31,2019,0.01,-87.64
NEPAL,HSCode_31,2019,38.9,-42.69
NETHERLAND,HSCode_31,2019,3.12,39.88
NEW ZEALAND,HSCode_31,2019,0.38,567.3
NIGERIA,HSCode_31,2019,0.21,752.85
NORWAY,HSCode_31,2019,,
OMAN,HSCode_31,2019,1.47,-49.17
PAKISTAN IR,HSCode_31,2019,1.05,-73.64
PANAMA REPUBLIC,HSCode_31,2019,0.0,
PARAGUAY,HSCode_31,2019,0.0,455.05
PERU,HSCode_31,2019,0.87,-64.3
PHILIPPINES,HSCode_31,2019,0.32,-63.3
POLAND,HSCode_31,2019,,
PORTUGAL,HSCode_31,2019,,
QATAR,HSCode_31,2019,0.06,30.69
ROMANIA,HSCode_31,2019,,
RUSSIA,HSCode_31,2019,0.0,
RWANDA,HSCode_31,2019,0.03,218.25
SAUDI ARAB,HSCode_31,2019,0.37,-42.08
SENEGAL,HSCode_31,2019,3.07,31328.89
SERBIA,HSCode_31,2019,0.22,-51.35
SEYCHELLES,HSCode_31,2019,0.0,-20.69
SIERRA LEONE,HSCode_31,2019,0.0,
SINGAPORE,HSCode_31,2019,0.17,-23.14
SOMALIA,HSCode_31,2019,0.04,447582.96
SOUTH AFRICA,HSCode_31,2019,0.13,-10.82
SPAIN,HSCode_31,2019,0.13,-64.48
SRI LANKA DSR,HSCode_31,2019,4.7,31.95
SUDAN,HSCode_31,2019,0.37,
SURINAME,HSCode_31,2019,0.0,-2.8
SWITZERLAND,HSCode_31,2019,0.04,-60.12
SYRIA,HSCode_31,2019,,
TAIWAN,HSCode_31,2019,0.16,-31.3
TANZANIA REP,HSCode_31,2019,4.02,925.39
THAILAND,HSCode_31,2019,0.34,-46.88
TOGO,HSCode_31,2019,0.0,
TRINIDAD,HSCode_31,2019,0.0,-95.9
TUNISIA,HSCode_31,2019,0.37,2.08
TURKEY,HSCode_31,2019,0.03,-90.72
U ARAB EMTS,HSCode_31,2019,2.83,22.75
U K,HSCode_31,2019,0.11,-36.73
U S A,HSCode_31,2019,3.75,-6.66
UGANDA,HSCode_31,2019,0.03,12.3
UKRAINE,HSCode_31,2019,0.04,110.49
UZBEKISTAN,HSCode_31,2019,0.0,45.58
VIETNAM SOC REP,HSCode_31,2019,2.43,-34.99
YEMEN REPUBLC,HSCode_31,2019,0.0,-99.41
ZAMBIA,HSCode_31,2019,1.07,64.69
ZIMBABWE,HSCode_31,2019,0.0,-99.58
AFGHANISTAN,HSCode_31,2018,0.0,NA
ALBANIA,HSCode_31,2018,,NA
ALGERIA,HSCode_31,2018,0.0,NA
ANGOLA,HSCode_31,2018,0.0,NA
ARGENTINA,HSCode_31,2018,0.0,NA
AUSTRALIA,HSCode_31,2018,0.43,NA
AUSTRIA,HSCode_31,2018,,NA
AZERBAIJAN,HSCode_31,2018,0.0,NA
BAHARAIN IS,HSCode_31,2018,0.0,NA
BANGLADESH PR,HSCode_31,2018,0.84,NA
BARBADOS,HSCode_31,2018,0.0,NA
BELGIUM,HSCode_31,2018,2.13,NA
BELIZE,HSCode_31,2018,0.0,NA
BENIN,HSCode_31,2018,0.03,NA
BHUTAN,HSCode_31,2018,0.0,NA
BOLIVIA,HSCode_31,2018,0.0,NA
BOSNIA-HRZGOVIN,HSCode_31,2018,0.0,NA
BOTSWANA,HSCode_31,2018,0.0,NA
BRAZIL,HSCode_31,2018,0.34,NA
BRUNEI,HSCode_31,2018,0.0,NA
BULGARIA,HSCode_31,2018,0.0,NA
BURUNDI,HSCode_31,2018,0.0,NA
CAMBODIA,HSCode_31,2018,0.0,NA
CAMEROON,HSCode_31,2018,0.09,NA
CANADA,HSCode_31,2018,0.37,NA
CHILE,HSCode_31,2018,0.06,NA
CHINA P RP,HSCode_31,2018,1.1,NA
COLOMBIA,HSCode_31,2018,0.02,NA
CONGO D. REP.,HSCode_31,2018,0.01,NA
CONGO P REP,HSCode_31,2018,0.0,NA
COSTA RICA,HSCode_31,2018,,NA
COTE D' IVOIRE,HSCode_31,2018,0.07,NA
CROATIA,HSCode_31,2018,,NA
CYPRUS,HSCode_31,2018,0.0,NA
CZECH REPUBLIC,HSCode_31,2018,,NA
DJIBOUTI,HSCode_31,2018,0.41,NA
DOMINIC REP,HSCode_31,2018,0.02,NA
ECUADOR,HSCode_31,2018,0.03,NA
EGYPT A RP,HSCode_31,2018,0.49,NA
EQUTL GUINEA,HSCode_31,2018,0.0,NA
ERITREA,HSCode_31,2018,,NA
ETHIOPIA,HSCode_31,2018,1.86,NA
FIJI IS,HSCode_31,2018,0.0,NA
FRANCE,HSCode_31,2018,,NA
GAMBIA,HSCode_31,2018,0.0,NA
GERMANY,HSCode_31,2018,0.25,NA
GHANA,HSCode_31,2018,0.17,NA
GREECE,HSCode_31,2018,0.03,NA
GUATEMALA,HSCode_31,2018,0.03,NA
GUINEA,HSCode_31,2018,0.01,NA
GUYANA,HSCode_31,2018,0.0,NA
HONDURAS,HSCode_31,2018,0.0,NA
INDONESIA,HSCode_31,2018,1.43,NA
IRAN,HSCode_31,2018,0.47,NA
IRAQ,HSCode_31,2018,0.03,NA
IRELAND,HSCode_31,2018,,NA
ISRAEL,HSCode_31,2018,0.0,NA
ITALY,HSCode_31,2018,0.05,NA
JAMAICA,HSCode_31,2018,0.0,NA
JAPAN,HSCode_31,2018,0.19,NA
JORDAN,HSCode_31,2018,0.07,NA
KENYA,HSCode_31,2018,2.18,NA
KOREA DP RP,HSCode_31,2018,,NA
KOREA RP,HSCode_31,2018,0.33,NA
KUWAIT,HSCode_31,2018,0.02,NA
LAO PD RP,HSCode_31,2018,0.0,NA
LEBANON,HSCode_31,2018,0.34,NA
LIBERIA,HSCode_31,2018,0.01,NA
LIBYA,HSCode_31,2018,,NA
LITHUANIA,HSCode_31,2018,0.08,NA
MADAGASCAR,HSCode_31,2018,0.26,NA
MALAWI,HSCode_31,2018,0.29,NA
MALAYSIA,HSCode_31,2018,19.52,NA
MALDIVES,HSCode_31,2018,0.4,NA
MALI,HSCode_31,2018,,NA
MAURITIUS,HSCode_31,2018,0.04,NA
MEXICO,HSCode_31,2018,0.06,NA
MOLDOVA,HSCode_31,2018,0.0,NA
MONGOLIA,HSCode_31,2018,0.0,NA
MOROCCO,HSCode_31,2018,1.22,NA
MOZAMBIQUE,HSCode_31,2018,13.15,NA
MYANMAR,HSCode_31,2018,0.1,NA
NEPAL,HSCode_31,2018,67.88,NA
NETHERLAND,HSCode_31,2018,2.23,NA
NEW ZEALAND,HSCode_31,2018,0.06,NA
NIGERIA,HSCode_31,2018,0.02,NA
NORWAY,HSCode_31,2018,0.0,NA
OMAN,HSCode_31,2018,2.9,NA
PAKISTAN IR,HSCode_31,2018,3.97,NA
PANAMA REPUBLIC,HSCode_31,2018,,NA
PARAGUAY,HSCode_31,2018,0.0,NA
PERU,HSCode_31,2018,2.45,NA
PHILIPPINES,HSCode_31,2018,0.86,NA
POLAND,HSCode_31,2018,0.0,NA
PORTUGAL,HSCode_31,2018,0.0,NA
QATAR,HSCode_31,2018,0.05,NA
