Country,HSCode,Year,Value(Imports),Growth
AFGHANISTAN,HSCode_39,2019,10.87,362.46
ALBANIA,HSCode_39,2019,0.87,7.85
ALGERIA,HSCode_39,2019,20.85,-60.34
ANDORRA,HSCode_39,2019,0.01,13.28
ANGOLA,HSCode_39,2019,30.49,10.02
ANGUILLA,HSCode_39,2019,0.0,317964.52
ANTIGUA,HSCode_39,2019,0.0,-99.8
ARGENTINA,HSCode_39,2019,12.99,-34.84
ARMENIA,HSCode_39,2019,0.02,-68.33
ARUBA,HSCode_39,2019,0.23,-9.15
AUSTRALIA,HSCode_39,2019,51.88,-18.82
AUSTRIA,HSCode_39,2019,4.07,-1.69
AZERBAIJAN,HSCode_39,2019,1.01,117.02
BAHAMAS,HSCode_39,2019,0.03,425.5
BAHARAIN IS,HSCode_39,2019,48.11,-6.79
BANGLADESH PR,HSCode_39,2019,248.84,-13.73
BARBADOS,HSCode_39,2019,0.42,-2.39
BELARUS,HSCode_39,2019,0.6,-0.89
BELGIUM,HSCode_39,2019,71.2,-32.98
BELIZE,HSCode_39,2019,0.03,-54.67
BENIN,HSCode_39,2019,5.09,-1.73
BERMUDA,HSCode_39,2019,0.0,-95.43
BHUTAN,HSCode_39,2019,21.4,15.44
BOLIVIA,HSCode_39,2019,0.62,-9.75
BOSNIA-HRZGOVIN,HSCode_39,2019,0.03,-32.85
BOTSWANA,HSCode_39,2019,1.41,9.53
BRAZIL,HSCode_39,2019,62.48,2.37
BRUNEI,HSCode_39,2019,0.38,-81.45
BULGARIA,HSCode_39,2019,11.57,2.94
BURKINA FASO,HSCode_39,2019,2.64,-73.33
BURUNDI,HSCode_39,2019,1.02,-21.84
C AFRI REP,HSCode_39,2019,0.49,220.76
CAMBODIA,HSCode_39,2019,0.84,16.12
CAMEROON,HSCode_39,2019,12.9,5.18
CANADA,HSCode_39,2019,105.61,10.45
CAPE VERDE IS,HSCode_39,2019,0.27,101.96
CAYMAN IS,HSCode_39,2019,0.02,30.64
CHAD,HSCode_39,2019,0.14,11.89
CHILE,HSCode_39,2019,23.85,-19.97
CHINA P RP,HSCode_39,2019,843.07,-23.67
COLOMBIA,HSCode_39,2019,31.14,-40.45
COMOROS,HSCode_39,2019,0.33,55.36
CONGO D. REP.,HSCode_39,2019,18.34,-5.02
CONGO P REP,HSCode_39,2019,7.18,-19.62
COSTA RICA,HSCode_39,2019,4.38,-18.73
COTE D' IVOIRE,HSCode_39,2019,12.78,-0.53
CROATIA,HSCode_39,2019,2.77,-49.96
CUBA,HSCode_39,2019,3.02,47.83
CYPRUS,HSCode_39,2019,1.99,24.07
CZECH REPUBLIC,HSCode_39,2019,4.88,18.61
DENMARK,HSCode_39,2019,8.8,-6.71
DJIBOUTI,HSCode_39,2019,17.36,-30.01
DOMINIC REP,HSCode_39,2019,13.77,-42.63
DOMINICA,HSCode_39,2019,0.14,89170.39
ECUADOR,HSCode_39,2019,41.22,31.25
EGYPT A RP,HSCode_39,2019,85.3,-40.44
EL SALVADOR,HSCode_39,2019,1.81,-44.98
EQUTL GUINEA,HSCode_39,2019,1.3,19.49
ERITREA,HSCode_39,2019,0.2,-49.77
ESTONIA,HSCode_39,2019,0.83,-45.72
ETHIOPIA,HSCode_39,2019,34.87,0.44
FAROE IS.,HSCode_39,2019,0.05,
FIJI IS,HSCode_39,2019,2.0,-18.76
FINLAND,HSCode_39,2019,8.35,5.12
FR GUIANA,HSCode_39,2019,0.02,943.01
FR POLYNESIA,HSCode_39,2019,0.05,152.45
FRANCE,HSCode_39,2019,45.34,-18.91
GABON,HSCode_39,2019,3.5,61.69
GAMBIA,HSCode_39,2019,8.24,-0.11
GEORGIA,HSCode_39,2019,7.06,30.17
GERMANY,HSCode_39,2019,200.21,-18.06
GHANA,HSCode_39,2019,53.22,2.12
GIBRALTAR,HSCode_39,2019,0.01,-39.04
GREECE,HSCode_39,2019,27.16,3.82
GRENADA,HSCode_39,2019,0.05,-20.74
GUADELOUPE,HSCode_39,2019,0.09,46.74
GUAM,HSCode_39,2019,0.0,
GUATEMALA,HSCode_39,2019,8.67,-20.23
GUINEA,HSCode_39,2019,9.02,42.5
GUINEA BISSAU,HSCode_39,2019,0.09,19.25
GUYANA,HSCode_39,2019,0.76,3.28
HAITI,HSCode_39,2019,11.19,3.69
HONDURAS,HSCode_39,2019,3.7,-26.68
HONG KONG,HSCode_39,2019,26.16,68.51
HUNGARY,HSCode_39,2019,2.95,1.29
ICELAND,HSCode_39,2019,0.04,-46.78
INDONESIA,HSCode_39,2019,87.25,-45.22
IRAN,HSCode_39,2019,62.37,43.88
IRAQ,HSCode_39,2019,28.14,124.93
IRELAND,HSCode_39,2019,12.69,-13.89
ISRAEL,HSCode_39,2019,96.08,-16.42
ITALY,HSCode_39,2019,228.93,-37.04
JAMAICA,HSCode_39,2019,0.93,25.64
JAPAN,HSCode_39,2019,101.01,-28.09
JORDAN,HSCode_39,2019,11.16,21.23
KAZAKHSTAN,HSCode_39,2019,1.17,-21.35
KENYA,HSCode_39,2019,106.57,-5.85
KIRIBATI REP,HSCode_39,2019,0.0,-54.64
KOREA DP RP,HSCode_39,2019,0.02,-89.3
KOREA RP,HSCode_39,2019,43.6,0.34
KUWAIT,HSCode_39,2019,29.28,11.07
KYRGHYZSTAN,HSCode_39,2019,0.01,242.87
LAO PD RP,HSCode_39,2019,0.02,-36.25
LATVIA,HSCode_39,2019,4.93,-22.97
LEBANON,HSCode_39,2019,8.83,-27.63
LESOTHO,HSCode_39,2019,0.11,918.62
LIBERIA,HSCode_39,2019,3.5,11.65
LIBYA,HSCode_39,2019,6.07,175.02
LITHUANIA,HSCode_39,2019,3.68,-4.59
LUXEMBOURG,HSCode_39,2019,0.72,77.94
MACAO,HSCode_39,2019,,
MACEDONIA,HSCode_39,2019,0.07,115.04
MADAGASCAR,HSCode_39,2019,5.59,-24.07
MALAWI,HSCode_39,2019,5.87,-3.28
MALAYSIA,HSCode_39,2019,52.74,-11.73
MALDIVES,HSCode_39,2019,14.43,-5.0
MALI,HSCode_39,2019,8.08,11.1
MALTA,HSCode_39,2019,0.5,-11.73
MARSHALL ISLAND,HSCode_39,2019,,
MARTINIQUE,HSCode_39,2019,0.1,189.38
MAURITANIA,HSCode_39,2019,2.4,-6.52
MAURITIUS,HSCode_39,2019,19.92,-26.83
MAYOTTE,HSCode_39,2019,0.02,4.74
MEXICO,HSCode_39,2019,83.86,-27.82
MICRONESIA,HSCode_39,2019,0.04,99.08
MOLDOVA,HSCode_39,2019,0.05,233.75
MONACO,HSCode_39,2019,,
MONGOLIA,HSCode_39,2019,0.04,341.71
MONTENEGRO,HSCode_39,2019,2.52,-65.98
MONTSERRAT,HSCode_39,2019,0.01,320.98
MOROCCO,HSCode_39,2019,33.22,3.11
MOZAMBIQUE,HSCode_39,2019,33.72,-15.23
MYANMAR,HSCode_39,2019,22.42,40.03
NAMIBIA,HSCode_39,2019,0.4,-38.38
